"BTK","IKT",488
"BTK","OVB",1199
"HTA","IKT",609
"IKT","BTK",488
"IKT","HTA",609
"IKT","ODO",882
"ODO","IKT",882
"OVB","BTK",1199
"OVB","IKT",1459
"UKX","IKT",517
"AYP","LIM",340
"CUZ","LIM",586
"HUU","LIM",258
"LIM","AYP",340
"LIM","CUZ",586
"LIM","HUU",258
"LIM","PCL",491
"LIM","TPP",618
"PCL","LIM",491
"PEM","CUZ",311
"ABJ","OUA",832
"BOY","OUA",334
"DKR","BKO",1060
"DKR","OUA",1747
"LFW","OUA",752
"NIM","OUA",420
"OUA","ABJ",832
"OUA","ACC",765
"OUA","LFW",752
"BOG","GYE",994
"BOG","UIO",712
"CLO","GYE",744
"GYE","BOG",994
"GYE","CLO",744
"GYE","SCY",1091
"UIO","OCC",157
"BDS","ZRH",1065
"BOD","ZRH",771
"GVA","LPA",2771
"LCA","ZRH",2505
"LPA","ZRH",3001
"TFS","GVA",2832
"ZRH","LCA",2505
"AJR","LYC",119
"ARN","HAD",444
"ARN","MHQ",122
"ARN","OER",422
"ARN","VBY",223
"ARN","VHM",551
"GEV","ARN",844
"GEV","KRF",476
"HAD","JKG",140
"HMV","VHM",159
"JKG","ARN",306
"KRF","GEV",476
"LYC","AJR",119
"MHQ","TKU",137
"POR","ARN",292
"POR","KOK",260
"TKU","MHQ",137
"VXO","ARN",355
"ADQ","KLN",91
"BSO","MNL",669
"BXU","MNL",786
"CGY","MNL",782
"CRM","MNL",450
"DWC","MNL",6929
"KLO","MNL",347
"LGP","MNL",329
"MNL","BSO",669
"MNL","CGY",782
"MNL","CRM",450
"MNL","GES",1040
"MNL","KLO",347
"MNL","LGP",329
"MNL","MPH",305
"MNL","OZC",768
"MNL","PPS",584
"MNL","TUG",357
"MPH","MNL",305
"OZC","MNL",768
"PPS","MNL",584
"RXS","MNL",374
"SUG","MNL",717
"ZAM","MNL",851
"BSB","OPS",938
"BSB","RAO",586
"CAC","GRU",733
"CGB","OPS",423
"CGR","DOU",195
"DOU","CGR",195
"GRU","DOU",877
"GRU","RAO",289
"GRU","UBA",436
"GRU","UDI",538
"GRU","VDC",1120
"GYN","CGB",745
"GYN","RAO",523
"OPS","BSB",938
"PMW","AUX",341
"RAO","BSB",586
"RAO","GIG",502
"RAO","GYN",523
"RAO","PLU",423
"RAO","UDI",255
"SJP","RAO",173
"SSA","BRA",732
"SSA","VDC",350
"UBA","UDI",102
"UDI","GRU",538
"UDI","UBA",102
"VDC","GRU",1120
"VDC","SSA",350
"DEC","ORD",252
"DEC","STL",177
"JBR","STL",325
"ORD","BRL",300
"STL","DEC",177
"KTN","MTM",26
"BJL","DKR",180
"BJL","FNA",646
"DKR","DLA",3210
"DKR","FNA",826
"DLA","LOS",764
"FNA","ROB",410
"LOS","ROB",1512
"OXB","CKY",341
"OXB","DKR",374
"ROB","ACC",1130
"XGR","YVP",157
"YGL","YGW",184
"YGW","YGL",184
"YGW","YPH",355
"YGW","YUD",160
"YIK","AKV",178
"YKG","YQC",115
"YKG","YVP",233
"YKL","YQB",947
"YKL","YWK",209
"YPJ","YKG",84
"YPJ","YVP",150
"YPX","YPH",181
"YPX","YVP",550
"YQB","YKL",947
"YQB","YUL",233
"YSK","YGW",167
"YSK","YUD",167
"YTQ","YPJ",73
"YTQ","YVP",109
"YUL","YUY",492
"YVP","YKG",233
"YVP","YKL",379
"YVP","YPH",565
"YVP","YPJ",150
"YWB","YZG",207
"YWK","YZV",303
"YZV","YWK",303
"JIB","MGQ",1086
"MGQ","NBO",1002
"DRW","SIN",3339
"HAK","SIN",2183
"HKG","SIN",2566
"KIX","TPE",1703
"MNL","KIX",2635
"MNL","SIN",2375
"PNH","SIN",1138
"SIN","BKK",1417
"SIN","HKG",2566
"SIN","KUL",297
"SIN","PER",3911
"SIN","SGN",1093
"SIN","SWA",2813
"TPE","KIX",1703
"ACH","EBA",528
"DRS","ZRH",556
"DUS","FDH",448
"EBA","FDH",549
"EBA","MUC",633
"EBA","ZRH",540
"FDH","DUS",448
"FDH","EBA",549
"FDH","OLB",753
"FDH","TXL",606
"FMM","NAP",852
"OLB","FDH",753
"TXL","FDH",606
"ZAD","FDH",600
"ZRH","DRS",556
"ZRH","SZG",336
"ATL","LWB",594
"ATL","MEI",429
"ATL","MSL",318
"ELH","FLL",354
"EYW","FLL",233
"EYW","RSW",220
"FLL","ELH",354
"FLL","FPO",155
"FLL","GHB",393
"GGT","FLL",514
"GGT","GHB",197
"GHB","FLL",393
"JAX","MHH",631
"JAX","TPA",292
"MCN","ATL",128
"MCO","MCN",524
"MCO","PNS",613
"MCO","RSW",215
"MHH","FLL",310
"MHH","JAX",631
"MHH","PBI",300
"MSL","ATL",318
"PBI","TPA",280
"PIB","ATL",519
"PNS","MCO",613
"PNS","TPA",530
"RSW","EYW",220
"RSW","MCO",215
"TCB","FLL",285
"TLH","MCO",367
"TLH","TPA",322
"TPA","GNV",192
"TPA","PBI",280
"TPA","PNS",530
"TPA","TLH",322
"TUP","GLH",222
"AMS","NDR",2023
"BCN","CMN",1227
"BCN","TNG",931
"BLQ","CMN",2043
"BRU","TNG",1881
"CGN","NDR",1946
"CMN","BGY",2010
"CMN","BLQ",2043
"CMN","BRU",2183
"CMN","LGW",2066
"CMN","LYS",1747
"CMN","SAW",3350
"CMN","TLS",1380
"LGW","CMN",2066
"LGW","TNG",1775
"MPL","CMN",1514
"NDR","AMS",2023
"NDR","CGN",1946
"NDR","MPL",1128
"NDR","PMI",719
"PMI","NDR",719
"TNG","BRU",1881
"TNG","LGW",1775
"TSF","CMN",2168
"AUA","MAR",285
"CUR","AUA",120
"LSP","AUA",81
"ASF","LED",1902
"DME","ASF",1235
"DME","BHK",2616
"DME","EGO",537
"DME","KSQ",2775
"DME","NMA",2922
"DME","NVI",2624
"KSQ","DME",2775
"SKD","DME",2760
"CAY","FDF",1441
"CUR","SDQ",698
"DOM","PTP",84
"FDF","PTP",195
"PTP","ANU",101
"PTP","FDF",195
"PTP","SDQ",896
"PTP","SFG",260
"SDQ","PTP",896
"SDQ","SXM",694
"SFG","PTP",260
"SXM","SDQ",694
"BHY","XIY",1436
"CAN","SPN",3518
"CGO","CGQ",1463
"CGO","CKG",862
"CGO","HRB",1621
"CGO","URC",2486
"CGQ","NKG",1487
"CGQ","TSN",879
"CKG","CTU",276
"CKG","DLC",1707
"CKG","DYG",374
"CKG","HGH",1329
"CKG","HKT",2555
"CKG","INC",976
"CKG","KHN",903
"CKG","KMG",631
"CKG","LHW",806
"CKG","LJG",712
"CKG","NGB",1429
"CKG","PVG",1461
"CKG","SWA",1195
"CKG","SYX",1300
"CKG","SZX",1063
"CKG","TSA",1559
"CKG","TYN",1050
"CKG","URC",2313
"CKG","WUX",1333
"CKG","XIY",562
"CKG","YIH",474
"CKG","ZHA",1016
"CSX","CTU",937
"CSX","FOC",685
"CSX","KMG",1078
"CSX","WNZ",749
"CTU","CKG",276
"CTU","CSX",937
"CTU","DSN",1127
"CTU","HAK",1352
"CTU","HDG",1174
"CTU","HET",1344
"CTU","HFE",1276
"CTU","HGH",1580
"CTU","HKT",2566
"CTU","JZH",254
"CTU","KMG",617
"CTU","KOW",1183
"CTU","LHW",661
"CTU","LJG",564
"CTU","LUM",870
"CTU","LXA",1263
"CTU","NNG",981
"CTU","PEK",1556
"CTU","PVG",1704
"CTU","SJW",1304
"CTU","TAO",1648
"CTU","TSN",1546
"CTU","TYN",1127
"CTU","WNZ",1665
"CTU","XIY",623
"CTU","XNN",685
"CTU","YTY",1509
"CZX","HRB",1622
"CZX","ZUH",1271
"DLC","CKG",1707
"DLC","HGH",977
"DLC","TNA",446
"DNH","LHW",868
"DSN","CTU",1127
"DSN","SHE",1174
"DYG","CKG",374
"GXH","XIY",560
"HET","CTU",1344
"HGH","CGO",781
"HGH","DLC",977
"HKT","CTU",2566
"HRB","CZX",1622
"HRB","DLC",835
"HRB","SJW",1254
"HRB","TNA",1231
"HRB","WNZ",2026
"HRB","XUZ",1483
"INC","CKG",976
"INC","CTU",899
"JHG","KMG",412
"JJN","KWE",1197
"JZH","CTU",254
"KHN","CKG",903
"KHN","CTU",1169
"KHN","NGB",550
"KMG","CGO",1483
"KMG","CSX",1078
"KMG","JHG",412
"KMG","NKG",1722
"KMG","WXN",833
"KMG","XIY",1181
"KMG","XMN",1534
"KOW","XMN",367
"KWE","HGH",1394
"KWE","KMG",419
"KWE","SYX",954
"KWE","WNZ",1397
"KWE","XUZ",1327
"KWL","INC",1523
"KWL","SYX",772
"LHW","CKG",806
"LHW","KWE",1149
"LHW","TSN",1239
"LXA","CKG",1522
"LXA","GXH",1263
"LYI","XIY",885
"LZY","CTU",937
"MEL","CTU",8697
"MIG","XNN",619
"NGB","CKG",1429
"NGB","HAK",1561
"NGB","KHN",550
"NGB","KMG",1900
"NKG","CGQ",1487
"NKG","CKG",1189
"NKG","HRB",1670
"NKG","MIG",1337
"NKG","SYX",1770
"NNG","CKG",805
"NNG","CTU",981
"NNG","SGN",1321
