GKA,Goroka,Papua New Guinea,-6.08168983459,145.391998291
MAG,Madang,Papua New Guinea,-5.20707988739,145.789001465
HGU,Mount Hagen,Papua New Guinea,-5.82678985595703,144.296005249023
LAE,Nadzab,Papua New Guinea,-6.569803,146.725977
POM,Port Moresby,Papua New Guinea,-9.44338035583496,147.220001220703
WWK,Wewak,Papua New Guinea,-3.58383011818,143.669006348
UAK,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
GOH,Godthaab,Greenland,64.19090271,-51.6781005859
SFJ,Sondrestrom,Greenland,67.0122218992,-50.7116031647
THU,Thule,Greenland,76.5311965942,-68.7032012939
AEY,Akureyri,Iceland,65.6600036621094,-18.0727005004883
EGS,Egilsstadir,Iceland,65.2833023071289,-14.4013996124268
HFN,Hofn,Iceland,64.295601,-15.2272
HZK,Husavik,Iceland,65.952301,-17.426001
IFJ,Isafjordur,Iceland,66.0580978393555,-23.1352996826172
KEF,Keflavik,Iceland,63.985000610352,-22.605600357056
PFJ,Patreksfjordur,Iceland,65.555801,-23.965
RKV,Reykjavik,Iceland,64.1299972534,-21.9405994415
SIJ,Siglufjordur,Iceland,66.133301,-18.9167
VEY,Vestmannaeyjar,Iceland,63.4243011474609,-20.2789001464844
YAM,Sault Sainte Marie,Canada,46.4850006103516,-84.5093994140625
YAV,Winnipeg,Canada,50.0564002991,-97.0325012207
YAW,Halifax,Canada,44.6397018433,-63.4994010925
YAY,St. Anthony,Canada,51.3918991089,-56.0830993652
YAZ,Tofino,Canada,49.079833,-125.775583
YBB,Pelly Bay,Canada,68.534401,-89.808098
YBC,Baie Comeau,Canada,49.1324996948242,-68.2043991088867
YBG,Bagotville,Canada,48.3306007385254,-70.9963989257813
YBK,Baker Lake,Canada,64.2988967896,-96.077796936
YBL,Campbell River,Canada,49.9508018493652,-125.271003723145
YBR,Brandon,Canada,49.91,-99.951897
YCB,Cambridge Bay,Canada,69.1081008911,-105.138000488
YCD,Nanaimo,Canada,49.0549702249,-123.869862556
YCG,Castlegar,Canada,49.2963981628,-117.632003784
YCH,Chatham,Canada,47.007801,-65.449203
YCL,Charlo,Canada,47.990799,-66.330299
YCO,Coppermine,Canada,67.8167037964,-115.143997192
YCT,Coronation,Canada,52.0750007629,-111.444999695
YCW,Chilliwack,Canada,49.1528015137,-121.939002991
YCY,Clyde River,Canada,70.4860992432,-68.5167007446
